Section,#,Screen ID,Module,UI Screen,URD_ID,Status,Page Link,Notes
Employer,22,EMP-22,Candidates,Candidate Profile Drawer / Modal,EMP-FR-020,Completed,https://lamviec360-layout.vercel.app/company/candidates,Drawer opens from a candidate row
Employer,23,EMP-23,Candidates,Candidate Resume / Work History,EMP-FR-020,Completed,https://lamviec360-layout.vercel.app/company/candidates,Inside the candidate drawer
Employer,24,EMP-24,Candidates,Internal Notes / Feedback,EMP-FR-021,Completed,https://lamviec360-layout.vercel.app/company/candidates,Notes section in the candidate drawer
Employer,25,EMP-25,Candidates,Candidate Stage Movement,EMP-FR-018,Completed,https://lamviec360-layout.vercel.app/company/candidates,
Employer,26,EMP-26,Candidates,Bulk Stage Movement,EMP-FR-019,Completed,https://lamviec360-layout.vercel.app/company/candidates,Bulk action bar after multi-select
Employer,27,EMP-27,Candidates,Bulk Rejection Confirmation,"EMP-FR-018b, EMP-FR-019",Completed,https://lamviec360-layout.vercel.app/company/candidates,Confirmation dialog when bulk-moving to Rejected
Employer,28,EMP-28,Candidates,Undo Bulk Stage Movement,EMP-FR-018b,Completed,https://lamviec360-layout.vercel.app/company/candidates,Undo toast (5-minute window)
Employer,29,EMP-29,Candidates,AI Candidate Screening,"EMP-FR-022, EMP-FR-022b",Completed,https://lamviec360-layout.vercel.app/company/candidates,
Employer,30,EMP-30,Candidates,AI Screening Results / HR Override,EMP-FR-022b,Completed,https://lamviec360-layout.vercel.app/company/candidates,
Employer,31,EMP-31,Communication,Candidate Email / Notification,"EMP-FR-024, NTF-FR-006",Completed,https://lamviec360-layout.vercel.app/company/candidates,Send-email action from candidate drawer; see also /company/notifications
Employer,32,EMP-32,Communication,Rejection Reason Templates,EMP-FR-024b,Completed,https://lamviec360-layout.vercel.app/company/settings,Pipeline tab: full template CRUD; picker wired into single + bulk reject flows on /company/candidates
Employer,33,EMP-33,Team,Team Management,"EMP-FR-025, EMP-FR-026, EMP-FR-028",Completed,https://lamviec360-layout.vercel.app/company/team,
Employer,34,EMP-34,Team,Invite Team Member,EMP-FR-025,Completed,https://lamviec360-layout.vercel.app/company/team,Invite dialog on Team Management
Employer,35,EMP-35,Team,Edit Role / Revoke Access,EMP-FR-027,Completed,https://lamviec360-layout.vercel.app/company/team,Row actions on Team Management
Employer,36,EMP-36,Subscription,Subscription / Billing,"EMP-FR-029, EMP-FR-032",Completed,https://lamviec360-layout.vercel.app/company/billing,
Employer,37,EMP-37,Subscription,Plan Upgrade / Downgrade,EMP-FR-032,Completed,https://lamviec360-layout.vercel.app/company/billing,Plan cards with Choose/Current actions
Employer,38,EMP-38,Subscription,Public Pricing Page,EMP-FR-031,Completed,https://lamviec360-layout.vercel.app/pricing,
Employer,39,EMP-39,Settings,Notification Controls,NTF-FR-006,Completed,https://lamviec360-layout.vercel.app/company/notifications,See also /company/settings Notifications tab
Employer,40,EMP-40,Settings,Candidate Contact Visibility,BR-014,Completed,https://lamviec360-layout.vercel.app/company/settings,Privacy & Data tab: visibility mode + email/phone masking; enforced in candidate drawer
Employer,41,EMP-41,Settings,Data Retention Policy,BR-012,Completed,https://lamviec360-layout.vercel.app/company/settings,Privacy & Data tab: retention period + auto-purge toggle + "Run purge now"
